日期,證券代號,證券名稱,序號,券商,價格,買進股數,賣出股數
2002/03/11,3034,novatek,252,116G,429.50,2000,2000
2002/03/11,3034,novatek,253,116G,430.00,8000,2000
2002/03/11,3034,novatek,254,116G,430.50,2000,0
2002/03/11,3034,novatek,255,116G,431.00,7000,1000
2002/03/11,3034,novatek,256,116G,431.50,0,2000
2002/03/11,3034,novatek,257,116H,422.00,0,1000
2002/03/11,3034,novatek,258,116H,422.50,1000,0
2002/03/11,3034,novatek,259,116H,425.00,1000,0
2002/03/11,3034,novatek,260,116H,426.00,0,25
2002/03/11,3034,novatek,261,116H,426.50,0,1000
2002/03/11,3034,novatek,262,116H,427.00,0,25
2002/03/11,3034,novatek,263,116H,427.50,1000,0
2002/03/11,3034,novatek,264,116H,428.00,0,25
2002/03/11,3034,novatek,265,116H,428.50,0,1000
2002/03/11,3034,novatek,266,116H,429.00,0,725
2002/03/11,3034,novatek,267,116H,429.50,1000,6152
2002/03/11,3034,novatek,268,116H,430.00,0,25
2002/03/11,3034,novatek,269,116H,431.00,1000,2000
2002/03/11,3034,novatek,270,116H,431.50,0,1000
2002/03/11,3034,novatek,271,116i,428.50,0,100
2002/03/11,3034,novatek,272,116i,429.50,0,2000
2002/03/11,3034,novatek,273,116i,430.00,0,1000
2002/03/11,3034,novatek,274,116j,428.00,0,1000
2002/03/11,3034,novatek,275,116j,429.50,265,0
2002/03/11,3034,novatek,276,116k,429.50,0,40
2002/03/11,3034,novatek,277,116k,430.00,0,30
2002/03/11,3034,novatek,278,116k,431.00,0,1000
2002/03/11,3034,novatek,279,116K,422.00,0,1000
2002/03/11,3034,novatek,280,116K,425.00,0,1100
2002/03/11,3034,novatek,281,116K,430.00,0,1000
2002/03/11,3034,novatek,282,116L,429.00,0,1000
2002/03/11,3034,novatek,283,116L,430.00,0,2000
2002/03/11,3034,novatek,284,116m,423.00,0,1000
2002/03/11,3034,novatek,285,116m,429.00,0,1100
2002/03/11,3034,novatek,286,116m,429.50,0,50
2002/03/11,3034,novatek,287,116m,430.00,0,1000
2002/03/11,3034,novatek,288,116m,431.50,0,2000
2002/03/11,3034,novatek,289,116N,431.00,0,1000
2002/03/11,3034,novatek,290,116P,429.00,200,0
2002/03/11,3034,novatek,291,116P,430.00,0,1000
2002/03/11,3034,novatek,292,116P,431.50,0,1000
2002/03/11,3034,novatek,293,116r,427.00,0,20
2002/03/11,3034,novatek,294,116r,427.50,0,1000
2002/03/11,3034,novatek,295,116r,430.00,0,1000
2002/03/11,3034,novatek,296,116r,431.00,0,2000
2002/03/11,3034,novatek,297,116s,425.00,0,1
2002/03/11,3034,novatek,298,116S,428.50,0,82
2002/03/11,3034,novatek,299,116S,429.00,0,1028
2002/03/11,3034,novatek,300,116S,430.00,0,2000
2002/03/11,3034,novatek,301,116S,431.00,0,1000
2002/03/11,3034,novatek,302,116U,422.00,0,3000
2002/03/11,3034,novatek,303,116U,423.00,0,1000
2002/03/11,3034,novatek,304,116U,423.50,0,1000
2002/03/11,3034,novatek,305,116U,424.00,0,1000
2002/03/11,3034,novatek,306,116V,430.00,0,100
2002/03/11,3034,novatek,307,116V,431.00,0,1000
2002/03/11,3034,novatek,308,116W,425.50,10,0
2002/03/11,3034,novatek,309,116W,429.00,1010,0
2002/03/11,3034,novatek,310,116W,429.50,0,250
2002/03/11,3034,novatek,311,116W,431.50,0,1000
2002/03/11,3034,novatek,312,1230,424.00,0,1000
2002/03/11,3034,novatek,313,1230,429.00,0,200
2002/03/11,3034,novatek,314,1232,431.00,0,1000
2002/03/11,3034,novatek,315,1233,421.00,1000,0
